dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3000,58834.1732689317,58834.1732689317,35.53657050000038,0.0018955999985337257,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.08245918954672116,0.10794393288858042,0.025484743341859267,0.007927781096819651,0,7,0.10102630723309966,0.08245918954672116,0.10794393288858042,68.28571428571429,60,70,68.28571428571429,60,70,28.571428571428573,25,34,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3001,61679.31564756425,61679.31564756425,33.11329459998524,0.003114499995717779,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.08068305106414421,0.11494534986830582,0.03426229880416161,0.011183658054098267,0,7,0.10102630723309966,0.08068305106414421,0.11494534986830582,68.28571428571429,61,70,68.28571428571429,61,70,28.571428571428573,24,34,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3002,60255.226772513655,60255.226772513655,46.26232949999394,0.0028113000153098255,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.083637666167176,0.12083429322981352,0.03719662706263753,0.010766058073025477,0,7,0.10102630723309966,0.083637666167176,0.12083429322981352,68.28571428571429,62,70,68.28571428571429,62,70,28.571428571428573,24,34,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3003,60273.02485607276,60273.02485607276,49.623022000014316,0.0014777999895159155,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.07555524346570477,0.11547766661597891,0.03992242315027414,0.013713889996704748,0,7,0.10102630723309966,0.07555524346570477,0.11547766661597891,68.28571428571429,65,70,68.28571428571429,65,70,28.571428571428573,23,32,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3005,59710.53334001903,59710.53334001903,46.15137340000365,0.0014425999543163925,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.08254246115869937,0.12645297152252802,0.04391051036382865,0.013536046932946112,0,7,0.10102630723309966,0.08254246115869937,0.12645297152252802,68.28571428571429,63,70,68.28571428571429,63,70,28.571428571428573,25,33,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3004,60728.39756781647,60728.39756781647,54.7058643999917,6.099988240748644e-06,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.07996542638623551,0.11202697237883227,0.032061545992596766,0.010195978991662732,0,7,0.10102630723309966,0.07996542638623551,0.11202697237883227,68.28571428571429,62,70,68.28571428571429,62,70,28.571428571428573,24,32,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3006,61095.81547576253,61095.81547576253,61.69712470000377,7.4999406933784485e-06,7,0,1.0,478,478,0.10102630723309967,0.10102630723309967,0.08183214514914343,0.13953060843821377,0.05769846328907034,0.017931052314334762,0,7,0.10102630723309967,0.08183214514914343,0.13953060843821377,68.28571428571429,62,70,68.28571428571429,62,70,28.571428571428573,24,33,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3007,56584.97916231757,56584.97916231757,63.716909000009764,5.699956091120839e-06,7,0,1.0,478,478,0.10102630723309965,0.10102630723309965,0.08907017412590061,0.11419077072108746,0.025120596595186853,0.007165320602871459,0,7,0.10102630723309965,0.08907017412590061,0.11419077072108746,68.28571428571429,64,70,68.28571428571429,64,70,28.571428571428573,24,31,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3008,60865.54703611352,60865.54703611352,69.6458605999942,0.006852100050309673,7,0,1.0,478,478,0.10102630723309966,0.10102630723309966,0.08392540373318426,0.10742633536637694,0.02350093163319268,0.008091490758401595,0,7,0.10102630723309966,0.08392540373318426,0.10742633536637694,68.28571428571429,64,70,68.28571428571429,64,70,28.571428571428573,26,33,0,0,0,,,,,,,,
XML200_1142_01_merged_with_boxes_norm,XML200_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML200_1142_01_merged_with_boxes_norm.json,200,1142,baseline_c,3009,61513.163636209116,61513.163636209116,75.0133588000026,0.002599800005555153,7,0,1.0,478,478,0.10102630723309966,0.10102630723309967,0.08613539358574807,0.11149380669980641,0.025358413114058342,0.008793883467123377,0,7,0.10102630723309967,0.08613539358574807,0.11149380669980641,68.28571428571429,67,70,68.28571428571429,67,70,28.571428571428573,24,31,0,0,0,,,,,,,,
