dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3000,170487.34570361703,169787.34570361703,94.29837969999062,0.004143599973758683,10,7,0.5882352941176471,1139,1129,0.09141434924792657,0.09141434924792657,0.04130795467232369,0.10611406903268568,0.06480611436036199,0.014747262236901409,10,17,0.09141434924792657,0.04130795467232369,0.10611406903268568,67.0,24,70,67.0,24,70,26.470588235294116,9,34,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3001,167043.07431909247,166843.07431909247,91.32388979999814,0.0029286000644788146,15,2,0.8823529411764706,1139,1137,0.09306468957825442,0.09306468957825442,0.027553066953357176,0.11725619685847652,0.08970312990511935,0.019365843296341664,2,17,0.09306468957825442,0.027553066953357176,0.11725619685847652,67.0,27,70,67.0,27,70,26.470588235294116,9,33,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3002,162044.6970550417,161944.6970550417,100.75134810002055,0.00856230009230785,16,1,0.9411764705882353,1139,1138,0.09330973772261801,0.09330973772261801,0.041264778859208096,0.11887981588566876,0.07761503702646066,0.016367366436736204,1,17,0.09330973772261801,0.041264778859208096,0.11887981588566876,67.0,32,70,67.0,32,70,26.470588235294116,12,31,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3003,168522.62170830547,168222.62170830547,111.17967909999425,0.003094100015005097,14,3,0.8235294117647058,1139,1135,0.09302028364461203,0.09302028364461201,0.04485675692610347,0.12223816545318796,0.07738140852708449,0.016183998450932064,4,17,0.09302028364461201,0.04485675692610347,0.12223816545318796,67.0,28,70,67.0,28,70,26.470588235294116,9,31,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3005,161785.52177073772,161685.52177073772,110.295195099985,0.002722999983234331,16,1,0.9411764705882353,1139,1138,0.09348979648966915,0.09348979648966915,0.052324293591342275,0.11146902996217345,0.059144736370831175,0.01474353124255084,1,17,0.09348979648966915,0.052324293591342275,0.11146902996217345,67.0,32,70,67.0,32,70,26.470588235294116,12,31,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3004,161512.77094268563,161212.77094268563,112.55283440000494,0.0020154000085312873,14,3,0.8235294117647058,1139,1136,0.09295761190513262,0.09295761190513262,0.03643042408947469,0.11756560144212883,0.08113517735265413,0.016761335985759327,3,17,0.09295761190513262,0.03643042408947469,0.11756560144212883,67.0,34,70,67.0,34,70,26.470588235294116,17,29,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3007,165068.9406246352,165068.9406246352,110.61977260001004,1.290004001930356e-05,17,0,1.0,1139,1139,0.09372875308763054,0.09372875308763054,0.05723388095311003,0.11119690333521806,0.05396302238210803,0.01604597848467792,0,17,0.09372875308763054,0.05723388095311003,0.11119690333521806,67.0,38,70,67.0,38,70,26.470588235294116,16,32,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3006,158391.14268831495,158291.14268831495,130.19840670001577,0.0023118000535760075,16,1,0.9411764705882353,1139,1135,0.09278440786687525,0.09278440786687525,0.02861191926585995,0.11504191327764356,0.08642999401178361,0.018088780203953346,4,17,0.09278440786687525,0.02861191926585995,0.11504191327764356,67.0,27,70,67.0,27,70,26.470588235294116,12,30,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3008,170188.27672742913,169888.27672742913,110.08987359999446,0.0029418999329209328,14,3,0.8235294117647058,1139,1136,0.09275007774114889,0.09275007774114889,0.04911779146426735,0.12333703289704785,0.0742192414327805,0.015744306642452348,3,17,0.09275007774114889,0.04911779146426735,0.12333703289704785,67.0,33,70,67.0,33,70,26.470588235294116,12,34,0,0,0,,,,,,,,
XML450_1111_01_merged_with_boxes_norm,XML450_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML450_1111_01_merged_with_boxes_norm.json,450,1111,baseline_b,3009,163644.42625522226,163444.42625522226,124.08595659999992,0.004818700079340488,15,2,0.8823529411764706,1139,1137,0.09303922093621075,0.09303922093621077,0.04371828316132485,0.11701306120373971,0.07329477804241485,0.01598374628926723,2,17,0.09303922093621077,0.04371828316132485,0.11701306120373971,67.0,30,70,67.0,30,70,26.470588235294116,12,31,0,0,0,,,,,,,,
