dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,4000,26264.28819104415,26264.28819104415,0.001507799985120073,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,3,0.0,0.0,0.0,40.0,25,48,40.0,25,48,16.666666666666668,12,20,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3000,9039.367881983164,9039.367881983164,5.220893200021237,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,52,68,60.0,52,70,25.0,23,27,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3001,9090.017233271179,9090.017233271179,10.362939100014046,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,53,67,60.0,53,70,25.0,23,27,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3002,10013.431445930582,10013.431445930582,15.19763320000493,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,53,67,60.0,53,70,25.0,21,29,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3003,9011.23245297084,9011.23245297084,15.389382099994691,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,50,70,60.0,50,70,25.0,17,33,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3004,8823.76014401214,8823.76014401214,15.939881700003752,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,51,69,60.0,51,70,25.0,24,26,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3005,9506.908375320065,9506.908375320065,15.947136900009355,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,50,70,60.0,50,70,25.0,19,31,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3006,9916.492763912673,9916.492763912673,16.284211699996376,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,50,70,60.0,50,70,25.0,20,30,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3007,8667.142223997318,8667.142223997318,16.326305899972795,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,51,69,60.0,51,70,25.0,23,27,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3008,9382.093431787578,9382.093431787578,16.30176920001395,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,52,68,60.0,52,70,25.0,22,28,0,0,0,,,,,,,,
XML50_1142_01_merged_with_boxes_norm,XML50_1142_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML50_1142_01_merged_with_boxes_norm.json,50,1142,baseline_a,3009,9549.221715334632,9549.221715334632,16.306043599994155,0.0,0,0,0.0,120,0,0.0,0.0,0.0,0.0,0.0,0.0,120,2,0.0,0.0,0.0,60.0,53,67,60.0,53,70,25.0,20,30,0,0,0,,,,,,,,
