dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3000,21948.34975148713,21879.41817220667,41.57407119998243,0.004488500009756535,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.06273945203157956,0.10510563908877871,0.04236618705719915,0.017590417375323946,0,4,0.0877181380022688,0.06273945203157956,0.10510563908877871,63.0,45,70,63.0,45,70,25.0,19,29,0,0,0,36.0,70,fast_box_threshold,,1,[4],[0.0877181380022688],[21879.41817220667]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3001,22179.00115714485,22101.015907151574,43.59430629998678,0.002753300010226667,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.06229827998302578,0.10375240126128009,0.04145412127825431,0.015620439084601976,0,4,0.08771813800226878,0.06229827998302578,0.10375240126128009,63.0,44,70,63.0,44,70,25.0,17,28,0,0,0,38.0,70,fast_box_threshold,,1,[4],[0.08771813800226878],[22101.015907151574]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3003,22598.023893947706,22503.744972300523,40.21557919998304,0.003755200043087825,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.06877886372033626,0.10019578901943388,0.03141692529909762,0.012574168552627307,0,4,0.0877181380022688,0.06877886372033626,0.10019578901943388,63.0,42,70,63.0,42,70,25.0,16,31,0,0,0,42.0,70,fast_box_threshold,,1,[4],[0.0877181380022688],[22503.744972300523]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3002,22298.149594893588,22224.401753420396,49.52088470000308,0.0021247999684419483,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.07046643605074653,0.10053165103169037,0.030065214980943847,0.012075181076868257,0,4,0.08771813800226878,0.07046643605074653,0.10053165103169037,63.0,44,70,63.0,44,70,25.0,16,32,0,0,0,38.0,70,fast_box_threshold,,1,[4],[0.08771813800226878],[22224.401753420396]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3004,22163.1543350074,22089.543102756317,44.822914699994726,0.001714799989713356,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.0663273066999804,0.09547574072444284,0.029148434024462447,0.012357830595138404,0,4,0.08771813800226878,0.0663273066999804,0.09547574072444284,63.0,44,70,63.0,44,70,25.0,18,31,0,0,0,38.0,70,fast_box_threshold,,1,[4],[0.08771813800226878],[22089.543102756317]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3005,23922.19086893295,23836.563530873755,41.759133899991866,0.0023348999966401607,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.06491156782369019,0.09991121150450649,0.0349996436808163,0.013732250865861982,0,4,0.0877181380022688,0.06491156782369019,0.09991121150450649,63.0,43,70,63.0,43,70,25.0,18,29,0,0,0,40.0,70,fast_box_threshold,,1,[4],[0.0877181380022688],[23836.563530873755]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3007,23487.317277882452,23434.677569694584,42.66343330001109,4.7000066842883825e-06,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.07039058446886558,0.09779988628282245,0.02740930181395687,0.010915192571580665,0,4,0.08771813800226878,0.07039058446886558,0.09779988628282245,63.0,46,70,63.0,46,70,25.0,18,29,0,0,0,34.0,70,fast_box_threshold,,1,[4],[0.08771813800226878],[23434.677569694584]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3008,24087.674213970866,24046.61258191835,44.611098099994706,0.003906400001142174,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.07338416110896458,0.09679458078723102,0.023410419678266445,0.009419729293592888,0,4,0.0877181380022688,0.07338416110896458,0.09679458078723102,63.0,47,69,63.0,47,70,25.0,19,28,0,0,0,32.0,70,fast_box_threshold,,1,[4],[0.0877181380022688],[24046.61258191835]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3006,20905.671912085978,20851.71027175232,47.14348850000533,3.7999125197529793e-06,4,0,1.0,252,252,0.0877181380022688,0.0877181380022688,0.06724108086951482,0.09817307084436841,0.030931989974853594,0.012043062638128968,0,4,0.0877181380022688,0.06724108086951482,0.09817307084436841,63.0,46,69,63.0,46,70,25.0,18,28,0,0,0,34.0,70,fast_box_threshold,,1,[4],[0.0877181380022688],[20851.71027175232]
XML100_1111_01_merged_with_boxes_norm,XML100_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\_smoke_bulk\XML100_1111_01_merged_with_boxes_norm.json,100,1111,proposed_no_adaptive,3009,23078.375548625936,23002.925741722134,39.074833599996055,0.0024696000036783516,4,0,1.0,252,252,0.08771813800226878,0.08771813800226878,0.06611514010622184,0.10091546756741401,0.034800327461192174,0.013383059370608338,0,4,0.08771813800226878,0.06611514010622184,0.10091546756741401,63.0,44,70,63.0,44,70,25.0,18,28,0,0,0,38.0,70,fast_box_threshold,,1,[4],[0.08771813800226878],[23002.925741722134]
