dataset,dataset_file,dataset_path,num_customers,family_group,model,seed,best_score,best_distance,runtime_seconds,packing_time_seconds,feasible_routes,infeasible_routes,feasibility_rate,boxes_total,boxes_packed,fill_rate,avg_fill_rate,min_fill_rate,max_fill_rate,fill_balance_penalty,route_fill_std,unpacked_boxes,route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_boxes,min_route_boxes,max_route_boxes,avg_boxes_per_route,min_boxes_per_route,max_boxes_per_route,avg_customers_per_route,min_customers_per_route,max_customers_per_route,tiny_route_count,merged_route_count,overflow_route_count,route_balance_penalty,chosen_split_limit,chosen_split_strategy,chosen_distance_limit,number_of_split_candidates_tested,candidate_route_counts,candidate_fill_rates,candidate_distances
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3000,86417.1043089058,86408.63423967353,89.34052739999606,3.500026650726795e-06,9,0,1.0,627,627,0.09328183445919243,0.09328183445919243,0.07805689327664043,0.10490920032374797,0.026852307047107532,0.008201181205250666,0,9,0.09328183445919243,0.07805689327664043,0.10490920032374797,69.66666666666667,68,71,69.66666666666667,68,70,27.77777777777778,25,31,0,0,0,7.333333333333329,71,box_threshold,,3,"[9, 9, 10]","[0.09328183445919244, 0.09328183445919243, 0.08256544053793032]","[86603.566240117, 86408.63423967353, 90160.35043982656]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3001,85266.92106896428,85271.90218305163,87.15477110000211,3.900029696524143e-06,9,0,1.0,627,627,0.09328183445919241,0.09328183445919241,0.07942745351766803,0.10529678967241976,0.025869336154751732,0.00802013586243117,0,9,0.09328183445919241,0.07942745351766803,0.10529678967241976,69.66666666666667,68,70,69.66666666666667,68,70,27.77777777777778,25,30,0,0,0,4.666666666666643,70,box_threshold,,4,"[9, 9, 9, 10]","[0.09328183445919241, 0.09328183445919241, 0.0929916398570459, 0.08362208046302001]","[85271.90218305163, 87715.05839963508, 89701.28839880653, 90539.5109377]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3002,83523.50158067365,83531.38596736132,116.13611449999735,6.8999361246824265e-06,9,0,1.0,627,627,0.09328183445919243,0.09328183445919243,0.0768102811136163,0.10517126031809593,0.028360979204479622,0.009695102788680458,0,9,0.09328183445919243,0.0768102811136163,0.10517126031809593,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,24,32,0,0,0,3.999999999999986,70,box_threshold,,3,"[9, 9, 10]","[0.09328183445919243, 0.09328183445919243, 0.08395365101327318]","[83531.38596736132, 83922.47127407508, 90309.4762392649]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3007,84106.41559483625,84115.95786870812,81.11597860002075,6.699992809444666e-06,9,0,1.0,627,627,0.09328183445919241,0.09328183445919241,0.08365922211706917,0.10039172487098645,0.016732502753917286,0.005111403352073461,0,9,0.09328183445919241,0.08365922211706917,0.10039172487098645,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,24,32,0,0,0,3.999999999999986,70,box_threshold,,4,"[9, 9, 10, 10]","[0.09328183445919241, 0.09328183445919241, 0.08395365101327319, 0.08330396978503438]","[84115.95786870812, 87662.52530768362, 91277.53985920784, 89405.27053617558]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3003,86453.16636308438,86461.77038632178,95.79027019999921,4.999979864805937e-06,9,0,1.0,627,627,0.09328183445919243,0.09328183445919243,0.08048820548263351,0.10392627605670107,0.023438070574067563,0.007590050134183089,0,9,0.09328183445919243,0.08048820548263351,0.10392627605670107,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,21,32,0,0,0,3.999999999999986,70,box_threshold,,4,"[9, 9, 10, 10]","[0.09328183445919243, 0.09226507006082908, 0.08324132489275188, 0.08315408386246508]","[86461.77038632178, 88363.8982424284, 91371.44016022551, 91070.19285798765]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3005,83376.80153249633,83383.1054817078,104.41617209999822,4.399975296109915e-06,9,0,1.0,627,627,0.09328183445919243,0.09328183445919243,0.06944015398928487,0.11007596088481993,0.04063580689553506,0.01296320192846083,0,9,0.09328183445919243,0.06944015398928487,0.11007596088481993,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,23,32,0,0,0,3.999999999999986,70,box_threshold,,3,"[9, 9, 10]","[0.09328183445919243, 0.09296879102034618, 0.08395365101327318]","[83383.1054817078, 84873.46226923532, 88528.09255445412]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3008,83393.47858422413,83402.43238572645,97.14672140000039,4.3000036384910345e-06,9,0,1.0,627,627,0.09328183445919243,0.09328183445919243,0.08592642986335428,0.10673985727447903,0.020813427411124755,0.006781587646612499,0,9,0.09328183445919243,0.08592642986335428,0.10673985727447903,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,23,31,0,0,0,3.999999999999986,70,box_threshold,,4,"[9, 9, 9, 9]","[0.09328183445919243, 0.09328183445919241, 0.09328183445919243, 0.09328183445919243]","[83402.43238572645, 84454.04649529951, 84265.00192439755, 84189.57743169478]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3004,90378.35983970591,90382.37273055917,110.57287809997797,3.7999707274138927e-06,9,0,1.0,627,627,0.09328183445919241,0.09328183445919241,0.07428965699565286,0.10767284683849818,0.033383189842845315,0.010027893874215633,0,9,0.09328183445919241,0.07428965699565286,0.10767284683849818,69.66666666666667,68,70,69.66666666666667,68,70,27.77777777777778,23,32,0,0,0,4.666666666666643,70,box_threshold,,4,"[9, 9, 9, 9]","[0.09328183445919241, 0.09328183445919241, 0.09328183445919241, 0.09328183445919241]","[90382.37273055917, 91864.22195264677, 92792.23949192972, 93101.42164159434]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3009,85365.45751063756,85373.51298900667,97.35782870001276,4.200031980872154e-06,9,0,1.0,627,627,0.09328183445919241,0.09328183445919241,0.07675979014534079,0.10446784246340204,0.027708052318061255,0.008715482484824231,0,9,0.09328183445919241,0.07675979014534079,0.10446784246340204,69.66666666666667,69,70,69.66666666666667,69,70,27.77777777777778,24,31,0,0,0,3.999999999999986,70,box_threshold,,4,"[9, 9, 9, 10]","[0.09328183445919241, 0.09328183445919241, 0.09328183445919241, 0.08395365101327318]","[85373.51298900667, 86437.27311633452, 88468.51766842871, 90801.27569921257]"
XML250_1111_01_merged_with_boxes_norm,XML250_1111_01_merged_with_boxes_norm.json,C:\Kanu\Kanu(D)\Dissertation\Dissertation-3L-SDVRP\VRP\generated_datasets\conference_batch\XML250_1111_01_merged_with_boxes_norm.json,250,1111,proposed_no_final_refinement,3006,91923.66160736661,91832.39032665835,127.63755240000319,5.699956091120839e-06,10,0,1.0,627,627,0.08395365101327318,0.08395365101327318,0.0668683155158035,0.1143937820138266,0.04752546649802311,0.013051242563203948,0,10,0.08395365101327318,0.0668683155158035,0.1143937820138266,62.7,55,65,62.7,55,70,25.0,21,28,0,0,0,21.599999999999994,65,box_threshold,,3,"[9, 10, 10]","[0.09200531511163346, 0.08395365101327318, 0.08395365101327319]","[94432.41623843479, 91832.39032665835, 94929.21538022299]"
