dataset,num_customers,model,avg_score,avg_distance,avg_runtime,avg_feasibility_rate,avg_fill_rate,avg_unpacked_boxes,avg_route_count,avg_route_fill,min_route_fill,max_route_fill,avg_route_fill_std,avg_tiny_route_count,avg_merged_route_count,avg_overflow_route_count,avg_route_balance_penalty,avg_fill_balance_penalty,avg_boxes_per_route,avg_customers_per_route,std_dev_score,std_dev_runtime,best_score,worst_score,best_runtime,worst_runtime
XML100_1111_01_merged_with_boxes_norm,100,proposed_full,24427.92885261615,24405.881746287894,82.52377416000236,1.0,0.08771813800226878,0.0,4.0,0.08771813800226878,0.06792553516144846,0.10643420398941081,0.009261872219395333,0.0,0.0,0.6,13.8,0.023573122841559376,63.0,25.0,1867.744817556925,16.57775081975944,22784.0908467721,28747.417998964567,53.360680500016315,99.6814744999865
XML100_1111_01_merged_with_boxes_norm,100,proposed_no_adaptive,22666.790855397885,22597.061360379663,43.49797434999491,1.0,0.08771813800226878,0.0,4.0,0.08771813800226878,0.06229827998302578,0.10510563908877871,0.012971133142433273,0.0,0.0,0.0,37.0,0.032600256524904274,63.0,25.0,982.4863947576572,3.1680476634504893,20905.671912085978,24087.674213970866,39.074833599996055,49.52088470000308
XML100_1111_01_merged_with_boxes_norm,100,proposed_no_final_refinement,24427.92885261615,24405.881746287894,83.25742810000084,1.0,0.08771813800226878,0.0,4.0,0.08771813800226878,0.06792553516144846,0.10643420398941081,0.009261872219395333,0.0,0.0,0.6,13.8,0.023573122841559376,63.0,25.0,1867.744817556925,13.476553463093015,22784.0908467721,28747.417998964567,62.96525129998918,111.09344409999903
XML100_1111_01_merged_with_boxes_norm,100,proposed_no_relocation,24509.48424855865,24503.0923541561,58.158811229997085,1.0,0.08771813800226878,0.0,4.0,0.08771813800226878,0.06357993277888906,0.11529377028741246,0.011509820868608685,0.0,0.0,0.5,12.6,0.029478994228381815,63.0,25.0,1021.6373692911217,6.987378351793683,22990.617709900114,25820.74046925272,45.402103200001875,69.10986699999194
XML100_1111_01_merged_with_boxes_norm,100,proposed_no_route_balance_mutation,24615.807210430652,24618.44810713706,83.87529467999994,1.0,0.09064207593567775,0.0,3.9,0.09064207593567775,0.06504930308231179,0.1503320200275803,0.011952611725319287,0.0,0.0,0.3,19.2,0.029818776931991343,65.1,25.833333333333332,1623.82096516058,11.806439062923939,21847.224758585675,26648.535301739415,63.36368689997471,97.39937060000375
XML100_1111_01_merged_with_boxes_norm,100,proposed_no_tiny_repair,24427.92885261615,24405.881746287894,90.62378363999888,1.0,0.08771813800226878,0.0,4.0,0.08771813800226878,0.06792553516144846,0.10643420398941081,0.009261872219395333,0.0,0.0,0.6,13.8,0.023573122841559376,63.0,25.0,1867.744817556925,14.928387888689784,22784.0908467721,28747.417998964567,70.03960190000362,116.99989449998247
XML100_1142_01_merged_with_boxes_norm,100,proposed_full,24249.88702878789,24106.840931928557,88.20676893999917,1.0,0.0845713372968264,0.0,3.8,0.0845713372968264,0.043423124157948995,0.11409711484071415,0.009216235404268273,0.1,0.0,1.1,22.2,0.022799495232558833,64.0,26.666666666666668,2608.543968265703,22.059847711368768,20823.488870601654,30754.778637875934,57.136195800005225,112.27721189998556
XML100_1142_01_merged_with_boxes_norm,100,proposed_no_adaptive,22497.160912579136,22105.09671780932,43.520292650000194,1.0,0.07928562871577474,0.0,4.0,0.07928562871577474,0.033521881062676846,0.10625167743977897,0.023442869407356806,1.0,0.0,0.0,56.2,0.06009385534393835,60.0,25.0,1835.6297938411142,2.183017001991498,20072.356216817017,25965.611296573625,39.84737960001803,47.26691000000574
XML100_1142_01_merged_with_boxes_norm,100,proposed_no_final_refinement,24249.88702878789,24106.840931928557,85.4084667099989,1.0,0.0845713372968264,0.0,3.8,0.0845713372968264,0.043423124157948995,0.11409711484071415,0.009216235404268273,0.1,0.0,1.1,22.2,0.022799495232558833,64.0,26.666666666666668,2608.543968265703,18.688897398370283,20823.488870601654,30754.778637875934,65.32695670000976,119.48996000000625
XML100_1142_01_merged_with_boxes_norm,100,proposed_no_relocation,23797.279569406186,23617.703037040184,58.00194485000393,1.0,0.09249990016840388,0.0,3.5,0.09249990016840388,0.04236333996863543,0.12210579819967256,0.01096548631080243,0.2,0.0,1.7,21.4,0.02741745385157992,70.0,29.166666666666668,1681.2632165703671,4.869335347851014,22357.702836681518,27871.636339936187,51.35536350001348,66.40410770001472
XML100_1142_01_merged_with_boxes_norm,100,proposed_no_route_balance_mutation,22868.226871660812,22791.25665183909,101.35208571000548,1.0,0.0845713372968264,0.0,3.8,0.0845713372968264,0.061434305401763964,0.12388595861938541,0.01020876079979142,0.0,0.0,0.8,19.6,0.024979548386421697,64.0,26.666666666666668,1367.0927694128006,20.58119037733391,20683.951754133526,25346.912365804677,68.73022259998834,137.53107140000793
