Size,Model,Distance,MinFill,FillStd,Routes,Runtime,Best
50,Baseline A,11039.4,—,—,2.09,14.29,
50,Baseline B,9741.9,0.056,0.01,2.0,34.79,
50,Baseline C,9786.8,0.058,0.01,2.0,36.83,
50,Proposed Model,8900.0,0.067,0.006,2.0,43.12,✓
250,Baseline A,76684.5,—,—,9.3,12.82,
250,Baseline B,76644.0,0.026,0.017,9.25,72.26,
250,Baseline C,81777.3,0.024,0.019,9.35,58.96,
250,Proposed Model,83432.3,0.063,0.012,9.05,109.81,✓
500,Baseline A,185488.0,—,—,18.55,38.04,
500,Baseline B,185063.1,0.007,0.016,18.55,128.14,
500,Baseline C,202984.8,0.005,0.017,18.6,100.4,
500,Proposed Model,208235.1,0.051,0.014,18.45,218.59,✓
750,Baseline A,302960.5,—,—,27.7,72.53,
750,Baseline B,303054.8,0.018,0.015,27.8,159.17,
750,Baseline C,334555.1,0.019,0.017,27.9,138.07,
750,Proposed Model,336568.2,0.035,0.014,27.65,235.71,✓
