gen,best_score
1,50580.02638903307
2,47013.266327722595
3,47013.266327722595
4,45412.33990427152
5,45412.33990427152
6,44619.98464887052
7,44519.095180791
8,43662.33348870428
9,43233.875072523035
10,43233.875072523035
11,42912.82775234037
12,42468.93680250744
13,42185.07668159
14,41435.4081674363
15,41248.0490479393
16,41243.8749912137
17,40942.61993577947
18,40517.166714788975
19,39977.890715563226
20,39195.14876149376
21,39195.14876149376
22,38864.599196767354
23,37931.81696382743
24,37931.81696382743
25,37931.81696382743
26,37931.81696382743
27,37924.62992329486
28,37403.22755953692
29,36199.78576383503
30,36199.78576383503
31,35344.36690100795
32,35344.36690100795
33,34938.75812427799
34,34938.75812427799
35,34938.75812427799
36,34938.75812427799
37,34938.75812427799
38,34938.75812427799
39,34694.39647612366
40,34694.39647612366
41,34694.39647612366
42,34159.1562399674
43,34159.1562399674
44,32900.223171429214
45,32900.223171429214
46,32553.228661381392
47,32553.228661381392
48,32342.435950588442
49,32342.435950588442
50,32342.435950588442
51,32342.435950588442
52,32342.435950588442
53,32280.6732454616
54,31780.502966450316
55,31780.502966450316
56,31714.482880260613
57,31714.482880260613
58,30969.557635052493
59,30969.557635052493
60,30856.67923115762
61,30856.67923115762
62,30605.626138263986
63,30544.157186193588
64,30544.157186193588
65,30111.7946022095
66,30111.7946022095
67,30111.7946022095
68,29832.65736124653
69,29832.65736124653
70,29832.65736124653
71,29832.65736124653
72,29803.286972889568
73,29779.549390293025
74,29698.967036485643
75,29698.967036485643
76,29698.967036485643
77,29642.614033205653
78,29506.85518036568
79,29484.95482003849
80,29484.95482003849
81,29479.882140904105
82,29477.48479200872
83,29284.73702221334
84,29227.351299307084
85,29227.351299307084
86,29227.351299307084
87,29144.513159217997
88,29144.513159217997
89,29020.172863381868
90,29020.172863381868
91,29020.172863381868
92,29010.158791219008
93,29010.158791219008
94,29010.158791219008
95,28707.42955900848
96,28707.42955900848
97,28647.335216022893
98,28395.06242515998
99,28395.06242515998
100,28395.06242515998
101,28395.06242515998
102,28366.122392504956
103,27971.41123041321
104,27971.41123041321
105,27971.41123041321
106,27971.41123041321
107,27971.41123041321
108,27971.41123041321
109,27863.013972034834
110,27863.013972034834
111,27681.742993123422
112,27647.334691331776
113,27620.258918133448
114,27620.258918133448
115,27620.258918133448
116,27326.67549107519
117,27326.67549107519
118,27326.67549107519
119,27326.67549107519
120,27277.41946123994
121,27277.41946123994
122,27277.41946123994
123,27277.41946123994
124,27192.28887480851
125,27192.28887480851
126,27192.28887480851
127,27192.28887480851
128,27116.68484988788
129,27116.68484988788
130,26990.79098584573
131,26990.79098584573
132,26914.72453251885
133,26914.72453251885
134,26914.72453251885
135,26914.72453251885
136,26914.72453251885
137,26838.21112968325
138,26824.462142741308
139,26824.462142741308
140,26568.68335215788
141,26568.68335215788
142,26568.68335215788
143,26568.68335215788
144,26568.68335215788
145,26407.837724347053
146,26407.837724347053
147,26407.837724347053
148,26407.837724347053
149,26333.618699181206
150,26333.618699181206
151,26333.618699181206
152,26333.618699181206
153,26333.618699181206
154,26333.618699181206
155,26194.125114260907
156,26194.125114260907
157,26194.125114260907
158,26194.125114260907
159,26185.761948065585
160,26021.720195393602
161,26021.720195393602
162,26021.720195393602
163,25866.017207413643
164,25866.017207413643
165,25866.017207413643
166,25866.017207413643
167,25866.017207413643
168,25843.885538167822
169,25843.885538167822
170,25843.885538167822
171,25720.647970320373
172,25720.647970320373
173,25716.340799625163
174,25716.340799625163
175,25716.340799625163
176,25685.019551810474
177,25685.019551810474
178,25685.019551810474
179,25614.70265841442
180,25614.70265841442
181,25498.085378727417
182,25301.731907783775
183,25301.731907783775
184,25301.731907783775
185,25301.731907783775
186,25281.79519784051
187,25281.79519784051
188,25281.79519784051
189,25281.79519784051
190,25281.79519784051
191,25157.473603763035
192,24937.055447695042
193,24937.055447695042
194,24937.055447695042
195,24937.055447695042
196,24812.733853617567
197,24812.733853617567
198,24812.733853617567
199,24812.733853617567
200,24812.733853617567
