gen,best_score
1,44826.93405908165
2,44826.93405908165
3,44826.93405908165
4,44501.1128181083
5,43476.97702534108
6,43476.97702534108
7,42095.811997883735
8,41721.97378135822
9,41234.484301327975
10,41234.484301327975
11,41118.970298084045
12,40442.23451721599
13,40404.80662791415
14,39059.40344158773
15,39059.40344158773
16,39059.40344158773
17,38705.50301959536
18,38557.97648525217
19,38534.197195892615
20,38490.72233163257
21,38277.841034713085
22,37476.20681517986
23,37253.02044095213
24,36873.71874330052
25,36873.71874330052
26,36431.762920090136
27,36431.762920090136
28,36256.79915438083
29,36256.79915438083
30,35656.496724506804
31,35520.40427849271
32,35520.40427849271
33,35520.40427849271
34,34436.19034097403
35,34436.19034097403
36,34436.19034097403
37,34436.19034097403
38,34148.69401939496
39,33940.456312153845
40,33940.456312153845
41,33895.623636091164
42,33651.25453297098
43,33651.25453297098
44,33325.10153010741
45,33155.52050415079
46,33054.203862084
47,32942.858831516955
48,32942.858831516955
49,32761.85060550126
50,32680.713784003838
51,32583.095970643903
52,32583.095970643903
53,32583.095970643903
54,32134.057489450468
55,31833.16036065745
56,31833.16036065745
57,31771.03582134659
58,31676.953464943763
59,31676.953464943763
60,31601.54877353849
61,31601.54877353849
62,31435.49859074984
63,31332.743475062733
64,31332.743475062733
65,31282.583986295984
66,31197.690647313924
67,31197.690647313924
68,31197.690647313924
69,30837.790892339755
70,30837.790892339755
71,30837.790892339755
72,30247.386788074666
73,30247.386788074666
74,30116.679863548543
75,30116.679863548543
76,30116.679863548543
77,29985.182666748635
78,29985.182666748635
79,29636.00967176609
80,29636.00967176609
81,29636.00967176609
82,29636.00967176609
83,29267.13124303286
84,29267.13124303286
85,29191.55306659674
86,29060.05586979683
87,29060.05586979683
88,28839.23097821418
89,28573.80948215636
90,28573.80948215636
91,28474.63936350493
92,28474.63936350493
93,28474.63936350493
94,28173.930735932532
95,27820.61101666037
96,27820.61101666037
97,27809.307623482382
98,27638.73384388596
99,27638.73384388596
100,27638.73384388596
101,27275.562557106765
102,27275.562557106765
103,27275.562557106765
104,27275.562557106765
105,27275.562557106765
106,27050.425029954677
107,26891.868043721828
108,26845.359810125825
109,26844.034537144027
110,26757.77923770623
111,26757.77923770623
112,26716.479549749216
113,26716.479549749216
114,26716.479549749216
115,26547.57154906785
116,26547.57154906785
117,26529.687244107452
118,26529.687244107452
119,26118.46851037962
120,26118.46851037962
121,26118.46851037962
122,25906.61768010196
123,25906.61768010196
124,25906.61768010196
125,25906.61768010196
126,25733.515174570297
127,25587.89836907635
128,25587.89836907635
129,25587.89836907635
130,25587.89836907635
131,25587.89836907635
132,25587.89836907635
133,25587.89836907635
134,25478.77468040341
135,25318.214693998103
136,25318.214693998103
137,25318.214693998103
138,25311.38919460192
139,25307.136405285935
140,25134.913222707604
141,25134.913222707604
142,25041.705519523675
143,25041.705519523675
144,25033.230548146355
145,24945.761354181406
146,24945.761354181406
147,24945.761354181406
148,24756.56200693946
149,24756.56200693946
150,24756.56200693946
151,24489.999938223315
152,24485.792444217186
153,24485.792444217186
154,24485.792444217186
155,24449.41173172784
156,24449.41173172784
157,24194.397568895147
158,24082.843519838985
159,24082.843519838985
160,24082.843519838985
161,24082.843519838985
162,23828.866856107823
163,23828.866856107823
164,23828.866856107823
165,23828.866856107823
166,23828.866856107823
167,23828.866856107823
168,23652.54313332768
169,23652.54313332768
170,23652.54313332768
171,23652.54313332768
172,23652.54313332768
173,23652.54313332768
174,23438.108449621614
175,23438.108449621614
176,23438.108449621614
177,23438.108449621614
178,23438.108449621614
179,23438.108449621614
180,23389.551019534432
181,23301.085346519558
182,23301.085346519558
183,23301.085346519558
184,23301.085346519558
185,23301.085346519558
186,23228.131187021067
187,23228.131187021067
188,23228.131187021067
189,23192.895966790446
190,23129.794285559787
191,23129.794285559787
192,22975.47870200034
193,22975.47870200034
194,22975.47870200034
195,22975.47870200034
196,22975.47870200034
197,22975.47870200034
198,22975.47870200034
199,22975.47870200034
200,22930.857034580273
